"family","source","rank_in_source","model_name","status","r2","mse","rmse","feature_count","code_lines","generated_notebook","generated_notebook_exists","executed_notebook","executed_notebook_exists","log_file","source_csv"
"nvidia","archived_platforms","13","microsoft_phi-3-medium-128k-instruct","OK","-0.007594","0.79395","0.891039","79","61","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\microsoft_phi-3-medium-128k-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_microsoft_phi-3-medium-128k-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","14","rakuten_rakutenai-7b-instruct","OK","-0.007594","0.79395","0.891039","79","3","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\rakuten_rakutenai-7b-instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","15","speakleash_bielik-11b-v2.3-instruct","OK","-0.007594","0.79395","0.891039","79","49","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\speakleash_bielik-11b-v2.3-instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","16","mistralai_mistral-large-3-675b-instruct-2512","OK","-0.008874","0.794958","0.891604","80","40","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\mistralai_mistral-large-3-675b-instruct-2512.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_mistralai_mistral-large-3-675b-instruct-2512.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","19","qwen_qwen2.5-7b-instruct","OK","-0.01055","0.796279","0.892345","80","25","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\qwen_qwen2.5-7b-instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","20","qwen_qwen3-next-80b-a3b-instruct","OK","-0.01055","0.796279","0.892345","80","54","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\qwen_qwen3-next-80b-a3b-instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","21","abacusai_dracarys-llama-3.1-70b-instruct","OK","-0.010685","0.796385","0.892404","80","18","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\abacusai_dracarys-llama-3.1-70b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\abacusai_dracarys-llama-3.1-70b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","22","baichuan-inc_baichuan2-13b-chat","OK","-0.010685","0.796385","0.892404","80","43","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\baichuan-inc_baichuan2-13b-chat.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\baichuan-inc_baichuan2-13b-chat.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","23","gotocompany_gemma-2-9b-cpt-sahabatai-instruct","OK","-0.010685","0.796385","0.892404","80","13","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\gotocompany_gemma-2-9b-cpt-sahabatai-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_gotocompany_gemma-2-9b-cpt-sahabatai-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","24","institute-of-science-tokyo_llama-3.1-swallow-70b-instruct-v0.1","OK","-0.010685","0.796385","0.892404","80","37","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\institute-of-science-tokyo_llama-3.1-swallow-70b-instruct-v0.1.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_institute-of-science-tokyo_llama-3.1-swallow-70b-instruct-v0.1.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
