rank,platform,model,status,mse,rmse,r2,feature_count,code_lines,has_feature_engineering,has_xgboost,has_polars,source_notebook,error
50,nvidia,qwen_qwen2-7b-instruct,OK,0.796385,0.892404,-0.010685,80,47,True,True,True,platforms\nvidia\generated_notebooks\qwen_qwen2-7b-instruct.ipynb,
51,nvidia,qwen_qwen2.5-coder-32b-instruct,OK,0.796385,0.892404,-0.010685,80,35,True,True,True,platforms\nvidia\generated_notebooks\qwen_qwen2.5-coder-32b-instruct.ipynb,
52,nvidia,qwen_qwen2.5-coder-7b-instruct,OK,0.796385,0.892404,-0.010685,80,32,True,True,True,platforms\nvidia\generated_notebooks\qwen_qwen2.5-coder-7b-instruct.ipynb,
53,nvidia,rakuten_rakutenai-7b-chat,OK,0.796385,0.892404,-0.010685,80,41,True,True,True,platforms\nvidia\generated_notebooks\rakuten_rakutenai-7b-chat.ipynb,
54,nvidia,thudm_chatglm3-6b,OK,0.796385,0.892404,-0.010685,80,49,True,True,True,platforms\nvidia\generated_notebooks\thudm_chatglm3-6b.ipynb,
55,nvidia,tiiuae_falcon3-7b-instruct,OK,0.796385,0.892404,-0.010685,80,33,True,True,True,platforms\nvidia\generated_notebooks\tiiuae_falcon3-7b-instruct.ipynb,
56,nvidia,upstage_solar-10.7b-instruct,OK,0.796385,0.892404,-0.010685,80,16,True,True,True,platforms\nvidia\generated_notebooks\upstage_solar-10.7b-instruct.ipynb,
57,ollama,deepseek_v3.2,OK,0.796385,0.892404,-0.010685,80,30,True,True,True,platforms\ollama\generated_notebooks\deepseek_v3.2.ipynb,
58,ollama,gemma3_12b,OK,0.796385,0.892404,-0.010685,80,26,True,True,True,platforms\ollama\generated_notebooks\gemma3_12b.ipynb,
59,ollama,gemma3_27b,OK,0.796385,0.892404,-0.010685,80,43,True,True,True,platforms\ollama\generated_notebooks\gemma3_27b.ipynb,
60,ollama,glm_4.6,OK,0.796385,0.892404,-0.010685,80,114,True,True,True,platforms\ollama\generated_notebooks\glm_4.6.ipynb,
61,ollama,qwen3_next_80b,OK,0.796385,0.892404,-0.010685,80,9,True,True,True,platforms\ollama\generated_notebooks\qwen3_next_80b.ipynb,
62,huggingface,deepseek_ai_DeepSeek_R1_Distill_Qwen_32B,OK,0.796385,0.892404,-0.010685,80,52,True,True,True,platforms\huggingface\generated_notebooks\deepseek_ai_DeepSeek_R1_Distill_Qwen_32B.ipynb,
63,huggingface,deepseek_ai_DeepSeek_V3,OK,0.796385,0.892404,-0.010685,80,20,True,True,True,platforms\huggingface\generated_notebooks\deepseek_ai_DeepSeek_V3.ipynb,
64,huggingface,Qwen_Qwen2_5_72B_Instruct,OK,0.796385,0.892404,-0.010685,80,27,True,True,True,platforms\huggingface\generated_notebooks\Qwen_Qwen2_5_72B_Instruct.ipynb,
65,huggingface,Qwen_Qwen2_5_Coder_32B_Instruct,OK,0.796385,0.892404,-0.010685,80,37,True,True,True,platforms\huggingface\generated_notebooks\Qwen_Qwen2_5_Coder_32B_Instruct.ipynb,
66,nvidia,nvidia_llama-3.3-nemotron-super-49b-v1,OK,0.797974,0.893294,-0.012701,80,45,True,True,True,platforms\nvidia\generated_notebooks\nvidia_llama-3.3-nemotron-super-49b-v1.ipynb,
67,nvidia,meta_llama-3.1-8b-instruct,OK,0.798775,0.893742,-0.013717,80,51,True,True,True,platforms\nvidia\generated_notebooks\meta_llama-3.1-8b-instruct.ipynb,
68,huggingface,meta_llama_Llama_3_3_70B_Instruct,OK,0.798775,0.893742,-0.013717,80,20,True,True,True,platforms\huggingface\generated_notebooks\meta_llama_Llama_3_3_70B_Instruct.ipynb,
69,ollama,glm_5,OK,0.800683,0.894809,-0.01614,80,100,True,True,True,platforms\ollama\generated_notebooks\glm_5.ipynb,
70,nvidia,meta_llama-3.2-1b-instruct,OK,0.805049,0.897245,-0.02168,80,26,True,True,True,platforms\nvidia\generated_notebooks\meta_llama-3.2-1b-instruct.ipynb,
71,nvidia,microsoft_phi-3-small-8k-instruct,OK,0.805049,0.897245,-0.02168,80,22,True,True,False,platforms\nvidia\generated_notebooks\microsoft_phi-3-small-8k-instruct.ipynb,
72,nvidia,mistralai_mistral-nemotron,OK,0.80612,0.897842,-0.023039,80,79,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mistral-nemotron.ipynb,
73,nvidia,tokyotech-llm_llama-3-swallow-70b-instruct-v0.1,OK,0.80612,0.897842,-0.023039,80,17,True,True,True,platforms\nvidia\generated_notebooks\tokyotech-llm_llama-3-swallow-70b-instruct-v0.1.ipynb,
74,nvidia,utter-project_eurollm-9b-instruct,OK,0.80612,0.897842,-0.023039,80,32,True,True,True,platforms\nvidia\generated_notebooks\utter-project_eurollm-9b-instruct.ipynb,
75,nvidia,meta_llama-3.2-3b-instruct,OK,0.817354,0.904077,-0.037297,80,31,True,True,True,platforms\nvidia\generated_notebooks\meta_llama-3.2-3b-instruct.ipynb,
-,nvidia,bytedance_seed-oss-36b-instruct,EMPTY_NOTEBOOK,,,,0,0,False,False,False,platforms\nvidia\generated_notebooks\bytedance_seed-oss-36b-instruct.ipynb,Empty notebook
-,nvidia,nvidia_llama-3.1-nemotron-ultra-253b-v1,EMPTY_NOTEBOOK,,,,0,0,False,False,False,platforms\nvidia\generated_notebooks\nvidia_llama-3.1-nemotron-ultra-253b-v1.ipynb,Empty notebook
-,nvidia,nvidia_nemotron-3-nano-30b-a3b,EMPTY_NOTEBOOK,,,,0,0,False,False,False,platforms\nvidia\generated_notebooks\nvidia_nemotron-3-nano-30b-a3b.ipynb,Empty notebook
-,nvidia,nvidia_nemotron-3-super-120b-a12b,EMPTY_NOTEBOOK,,,,0,0,False,False,False,platforms\nvidia\generated_notebooks\nvidia_nemotron-3-super-120b-a12b.ipynb,Empty notebook
-,nvidia,nvidia_nvidia-nemotron-nano-9b-v2,EMPTY_NOTEBOOK,,,,0,0,False,False,False,platforms\nvidia\generated_notebooks\nvidia_nvidia-nemotron-nano-9b-v2.ipynb,Empty notebook
